dof_index, displacement_x, displacement_y
0,4.90704e-162,9.15286e-116
1,-5.48259e-163,4.43729e-116
2,4.2269e-162,2.06109e-73
3,-1.10765e-162,1.06651e-73
4,2.48821e-159,2.48091e-35
5,-1.06042e-159,1.15467e-36
6,4.39745e-159,1.0248e-35
7,-9.80432e-160,-1.72796e-36
8,2.21122e-189,1.94704e-81
9,1.53029e-189,8.98421e-83
10,2.65073e-186,6.39454e-30
11,3.21737e-186,1.49069e-29
12,6.66671e-186,3.78281e-29
13,3.5804e-186,1.00497e-28
14,3.53904e-162,1.36311e-32
15,3.84739e-163,3.45525e-32
16,3.10474e-159,6.70483e-32
17,8.34826e-160,1.80768e-31
18,2.60475e-162,1.1805e-98
19,6.81691e-163,8.21484e-101
20,2.07801e-159,1.97677e-86
21,1.51281e-159,-3.30982e-88
22,1.201e-162,8.70095e-102
23,-8.49588e-163,5.81809e-102
24,5.51409e-165,1.94211e-99
25,-1.4629e-165,2.3236e-99
26,1.79376e-162,1.00992e-101
27,9.64544e-163,6.50957e-102
28,1.32367e-187,4.74562e-86
29,9.36113e-189,2.27485e-88
30,1.66898e-184,7.39471e-84
31,4.24487e-185,-2.60387e-85
32,9.6422e-188,1.10548e-110
33,-3.78371e-188,2.93946e-113
34,1.75156e-161,3.70409e-113
35,2.3291e-162,-1.54462e-113
36,1.12042e-164,3.14864e-42
37,5.14942e-165,2.54866e-42
38,7.07991e-162,5.86359e-42
39,6.50137e-162,5.27012e-42
40,7.84835e-165,3.04505e-44
41,1.81115e-165,2.45401e-44
42,3.7403e-162,5.64049e-18
43,-1.92368e-162,1.39177e-18
44,3.81112e-165,2.81473e-19
45,-9.04233e-166,1.28086e-19
46,5.65264e-162,7.2519e-107
47,-9.14277e-163,5.05074e-107
48,4.64909e-165,2.93914e-39
49,-6.8763e-167,6.87992e-40
50,5.70648e-162,2.31529e-39
51,6.348e-163,4.15692e-40
52,4.8443e-165,4.03832e-41
53,4.43476e-166,8.59369e-42
54,4.50718e-162,2.14945e-104
55,1.35477e-164,1.06643e-104
56,5.79144e-165,7.74668e-107
57,-1.26631e-165,2.67488e-108
58,8.49491e-162,2.43998e-106
59,-5.59965e-163,1.11643e-106
60,7.97057e-165,1.04674e-123
61,-1.66328e-166,-2.03609e-124
62,8.00853e-162,2.18141e-126
63,-1.68895e-162,2.23871e-127
64,9.61444e-165,2.45904e-121
65,-2.01334e-165,-2.21323e-122
66,1.32567e-161,4.2652e-124
67,-1.61331e-162,-1.00044e-124
68,1.1832e-164,8.56183e-96
69,-4.35993e-167,3.10378e-96
70,1.25805e-161,4.49997e-93
71,2.7193e-164,1.27195e-93
72,9.60432e-165,2.47512e-92
73,1.50986e-165,5.60064e-93
74,8.70385e-162,2.4089e-122
75,2.93139e-162,1.19216e-122
76,6.51059e-165,3.40327e-39
77,2.04157e-165,9.29233e-40
78,4.52378e-162,7.03199e-38
79,3.18952e-162,4.85957e-39
80,2.54086e-165,1.36136e-35
81,1.36651e-165,-1.15279e-37
82,4.31538e-164,4.8633e-37
83,3.26154e-164,-1.49281e-38
84,2.59401e-167,1.45805e-37
85,1.76524e-167,6.07227e-38
86,4.09687e-166,8.56521e-95
87,1.25366e-166,8.86223e-95
88,2.87756e-169,2.72546e-94
89,9.15541e-170,-3.97796e-95
90,2.11325e-166,5.32493e-107
91,7.06611e-167,7.40587e-108
92,9.65378e-170,2.10564e-92
93,3.99221e-170,2.65048e-92
94,6.71606e-167,1.20606e-108
95,3.23361e-167,-1.82828e-110
96,4.15814e-170,1.87046e-105
97,1.40739e-170,-3.76094e-106
98,3.26049e-167,7.89337e-108
99,1.43466e-167,-3.1824e-111
100,1.42666e-170,1.9429e-105
101,6.35775e-171,1.45076e-106
102,1.13939e-167,6.08111e-103
103,7.59807e-168,-4.31336e-103
104,4.12447e-171,2.2517e-28
105,3.2359e-171,-3.0591e-29
106,7.81617e-170,2.19337e-110
107,3.78585e-170,-7.64187e-112
108,2.9954e-173,9.92236e-123
109,1.84991e-173,4.99307e-123
110,2.28672e-170,1.5994e-125
111,1.5953e-170,1.27497e-125
112,8.05079e-174,2.09351e-125
113,6.14633e-174,5.74693e-126
114,3.83077e-172,6.49987e-97
115,3.26183e-172,-6.31076e-98
116,1.87519e-175,3.31101e-97
117,7.94828e-176,5.65462e-97
118,1.49448e-172,3.34465e-94
119,7.94185e-173,1.34748e-94
120,4.38402e-176,9.4053e-123
121,3.71077e-176,1.58314e-123
122,5.3841e-176,5.38528e-95
123,4.68398e-176,2.73151e-95
124,1.85844e-179,1.74646e-92
125,2.9962e-179,-3.05754e-93
126,2.17531e-177,5.66977e-90
127,1.03088e-177,-2.52765e-90
128,7.0551e-181,7.89042e-28
129,3.93401e-181,5.26229e-28
130,6.21248e-178,1.77949e-29
131,3.3925e-178,1.18408e-29
132,2.34025e-181,4.98795e-29
133,1.5039e-181,3.25772e-29
134,1.14219e-178,1.47357e-27
135,8.40499e-179,1.11571e-27
136,4.69174e-182,1.21703e-30
137,2.98187e-182,9.69921e-31
138,1.74291e-180,1.2568e-08
139,1.53996e-181,7.98445e-09
140,1.03212e-183,4.24041e-136
141,2.20903e-184,1.84018e-136
142,1.18227e-180,1.22555e-99
143,1.53571e-181,3.48848e-100
144,1.22315e-183,2.01973e-138
145,2.49104e-184,-3.88733e-139
146,1.3531e-180,1.79086e-29
147,3.61885e-181,2.88363e-30
148,2.17644e-173,8.42982e-30
149,6.54504e-174,2.84434e-30
150,9.1937e-174,6.22066e-28
151,3.49189e-174,9.06021e-29
152,7.15545e-187,5.68822e-23
153,8.44308e-188,3.4934e-23
154,1.12815e-176,3.02897e-24
155,3.04379e-177,3.51876e-24
156,3.09485e-168,1.26868e-21
157,3.11122e-169,8.74297e-22
158,5.87966e-168,7.26037e-18
159,1.70052e-168,2.14948e-18
160,7.27361e-171,8.3511e-19
161,1.17549e-171,5.19105e-19
162,1.89392e-185,2.4837e-20
163,1.20516e-185,1.72275e-20
164,1.02165e-184,7.60754e-140
165,5.03099e-185,-8.85948e-141
166,6.01005e-186,3.45982e-138
167,5.72712e-186,-2.2138e-138
168,1.25671e-187,3.79961e-137
169,5.82988e-188,3.67571e-138
170,3.60803e-184,4.0793e-13
171,1.66025e-184,2.26917e-13
172,1.24332e-182,1.4901e-14
173,6.76056e-183,1.08368e-14
174,1.35971e-182,1.02749e-14
175,1.42153e-182,5.17819e-15
176,8.63791e-168,8.9415e-131
177,1.44723e-168,3.67058e-131
178,1.00584e-170,1.33284e-130
179,1.47095e-171,6.43038e-131
180,5.0006e-182,3.07729e-31
181,2.06744e-182,7.24284e-32
182,2.87829e-179,3.55888e-128
183,1.43901e-179,8.14243e-129
184,1.09037e-167,3.44507e-146
185,8.4683e-169,1.70231e-146
186,1.30742e-170,1.34835e-145
187,1.12461e-171,6.85437e-146
188,2.53435e-180,1.8505e-148
189,1.34865e-180,6.49534e-149
190,1.07609e-178,4.63909e-101
191,4.56799e-179,-1.82954e-102
192,9.8135e-180,2.38652e-99
193,4.25138e-180,-1.11813e-100
194,5.4601e-177,1.74473e-101
195,2.67516e-177,1.42958e-101
196,9.80536e-169,5.35597e-104
197,1.09387e-168,2.08502e-104
198,2.41192e-171,1.62001e-33
199,1.10826e-171,1.81194e-34
200,1.45575e-177,6.01201e-32
201,7.88622e-178,-1.37881e-32
202,1.96988e-176,1.48238e-87
203,8.84707e-177,4.98503e-88
204,1.00542e-167,5.75566e-86
205,-1.04209e-168,5.53491e-87
206,1.28837e-170,3.00644e-137
207,-4.2456e-172,1.06342e-137
208,4.81344e-177,1.82816e-82
209,1.84048e-177,9.81494e-83
210,2.96441e-174,8.80328e-137
211,1.4755e-174,2.29332e-137
212,9.25873e-168,2.09562e-134
213,-7.60515e-169,6.10151e-135
214,1.25696e-170,7.90179e-25
215,-5.88555e-172,8.34093e-25
216,2.7601e-176,7.31993e-24
217,4.52372e-177,4.85432e-24
218,6.27119e-168,2.28546e-23
219,-9.43829e-169,1.54332e-23
220,9.36625e-171,2.85278e-22
221,-1.35188e-171,2.72225e-22
222,2.77185e-176,1.14127e-30
223,-3.53462e-179,6.37219e-31
224,3.94895e-173,2.09005e-32
225,-1.04433e-173,1.02495e-32
226,6.65328e-173,5.35516e-29
227,3.52102e-173,3.16013e-29
228,2.90252e-172,4.16365e-15
229,1.21522e-172,1.5298e-15
230,1.70338e-170,2.39462e-19
231,1.28558e-170,4.98569e-20
232,5.67642e-168,3.95968e-132
233,-3.54736e-169,6.87734e-133
234,7.74922e-171,1.43606e-134
235,-4.15918e-172,1.56138e-135
236,4.50754e-168,5.22629e-132
237,-2.46266e-170,7.65629e-133
238,6.35014e-171,1.64904e-16
239,-4.43417e-172,1.78592e-16
240,3.8189e-168,5.07835e-18
241,-4.06092e-169,8.2555e-18
242,5.02392e-171,5.7749e-17
243,-3.16711e-172,3.67592e-16
244,7.06297e-172,7.33452e-16
245,4.70999e-172,1.36722e-15
246,9.25848e-174,2.56067e-17
247,8.88244e-174,2.62798e-17
248,7.40724e-168,1.76407e-27
249,1.57692e-168,3.63408e-29
250,8.89901e-171,5.95689e-29
251,1.62924e-171,1.32099e-29
252,4.59579e-165,2.13223e-27
253,-9.74478e-167,1.04353e-27
254,8.81847e-166,8.23604e-107
255,-2.04784e-167,2.72993e-107
256,1.62384e-166,7.84763e-109
257,-3.90045e-167,2.50271e-109
258,6.06069e-169,3.01075e-104
259,-8.90322e-170,1.12452e-104
260,2.5162e-163,2.18781e-106
261,2.69844e-164,7.13902e-107
262,3.69013e-165,4.52786e-104
263,3.91216e-166,5.03288e-105
264,5.77322e-168,1.01281e-32
265,2.01631e-170,8.57293e-33
266,4.98503e-168,1.98523e-34
267,5.80428e-169,2.78211e-34
268,2.61382e-165,9.69736e-35
269,5.3322e-166,1.79815e-34
270,3.43242e-168,3.701e-24
271,6.23376e-169,-1.57334e-25
272,1.15856e-167,1.25563e-22
273,3.02446e-168,4.27352e-24
274,1.40807e-170,2.69699e-21
275,3.17004e-171,2.00237e-22
276,1.70833e-165,1.34662e-24
277,8.48069e-166,-1.7627e-26
278,2.11815e-168,9.22312e-87
279,9.17575e-169,2.01146e-87
280,6.60151e-168,9.84584e-85
281,-2.8069e-169,3.3111e-85
282,4.66541e-171,2.30735e-84
283,8.71998e-172,-9.04245e-86
284,2.14834e-171,3.76409e-87
285,1.02881e-171,4.21128e-88
286,3.4546e-188,2.43994e-84
287,1.78377e-188,1.52431e-84
288,6.71408e-189,1.27996e-83
289,4.3056e-189,6.5907e-84
290,4.58086e-181,1.03665e-96
291,8.56728e-182,5.24866e-97
292,9.36767e-185,1.85695e-97
293,-7.13587e-185,-3.88027e-98
294,3.71414e-188,5.93802e-41
295,-8.47805e-189,1.6501e-41
296,4.83171e-191,1.84174e-84
297,-1.31876e-191,2.74603e-84
298,9.2089e-186,4.70525e-84
299,2.51467e-186,6.06844e-85
300,1.95095e-182,8.95664e-87
301,6.95123e-183,4.78581e-87
302,3.13108e-189,1.48533e-86
303,1.25734e-189,1.71517e-86
304,4.72107e-185,7.36197e-86
305,2.8369e-185,3.07396e-86
306,2.4008e-182,4.91766e-13
307,5.26099e-183,2.41541e-13
308,5.40236e-179,1.60337e-12
